pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"623, 'подтвердить', 'пацвердзiць'",0.0,0.0,1.3,0.0,2.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.5540540540540541
"624, 'рассказывали', 'расказалi'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.2,0.0,0.8018018018018018
"625, 'подтвердить', 'пацвердзiць'",0.0,0.0,1.3,0.0,2.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,-0.1891891891891892
"626, 'ломаным', 'ломанай'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.3378378378378379
"629, 'появлялся', 'зяўляўся'",0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0090090090090088
"630, 'заговорил', 'загаварыў'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.6036036036036035
"631, 'присутствовал', 'прысутнiчаў'",0.0,0.0,0.6,0.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.8018018018018018
"632, 'балконе', 'балконе'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8678678678678678
"633, 'тайно', 'таемна'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.0062370062370062
"634, 'секрет', 'сакрэт'",0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3596673596673597
